iter	Passed	Remaining
399	71620	89525
400	71803	89351
401	71989	89180
402	72158	88989
403	72342	88816
404	72546	88668
405	72719	88480
406	72899	88303
407	73084	88131
408	73279	87970
409	73463	87797
410	73639	87614
411	73820	87438
412	74006	87266
413	74179	87080
414	74355	86897
415	74531	86714
416	74717	86543
417	74897	86365
418	75075	86184
419	75246	85996
420	75427	85818
421	75603	85636
422	75779	85454
423	75959	85275
424	76145	85103
425	76315	84914
426	76504	84746
427	76681	84564
428	76865	84391
429	77035	84201
430	77189	83994
431	77369	83816
432	77554	83643
433	77739	83471
434	77918	83291
435	78091	83106
436	78267	82924
437	78443	82741
438	78630	82570
439	78799	82381
440	78983	82207
441	79163	82029
442	79344	81851
443	79507	81655
444	79693	81484
445	79869	81302
446	80040	81115
447	80217	80933
448	80405	80763
449	80587	80587
450	80788	80429
451	80971	80254
452	81153	80079
453	81335	79901
454	81509	79717
455	81687	79537
456	81868	79360
457	82044	79178
458	82231	79006
459	82397	78815
460	82583	78642
461	82781	78481
462	82965	78306
463	83144	78126
464	83323	77947
465	83489	77756
466	83667	77575
467	83859	77408
468	84044	77235
469	84220	77052
470	84373	76849
471	84563	76680
472	84750	76508
473	84935	76334
474	85119	76159
475	85291	75974
476	85481	75804
477	85646	75612
478	85824	75432
479	86000	75250
480	86195	75084
481	86372	74904
482	86556	74729
483	86723	74538
484	86910	74366
485	87091	74188
486	87276	74014
487	87456	73836
488	87629	73651
489	87802	73467
490	87995	73299
491	88181	73125
492	88358	72945
493	88542	72769
494	88724	72592
495	88912	72420
496	89083	72235
497	89262	72055
498	89431	71867
499	89620	71696
500	89788	71508
501	89975	71335
502	90160	71160
503	90345	70985
504	90529	70810
505	90714	70635
506	90898	70459
507	91077	70280
508	91263	70105
509	91430	69917
510	91614	69742
511	91807	69572
512	91985	69392
513	92161	69210
514	92344	69034
515	92523	68854
516	92695	68670
517	92906	68514
518	93098	68344
519	93270	68159
520	93444	67975
521	93605	67783
522	93773	67595
523	93958	67420
524	94148	67248
525	94325	67067
526	94502	66886
527	94690	66713
528	94876	66539
529	95071	66370
530	95255	66194
531	95420	66005
532	95602	65827
533	95764	65636
534	95957	65466
535	96139	65288
536	96325	65113
537	96502	64933
538	96684	64755
539	96867	64578
540	97044	64397
541	97234	64225
542	97417	64048
543	97606	63874
544	97788	63696
545	97967	63517
546	98157	63344
547	98347	63172
548	98521	62988
549	98700	62809
550	98881	62631
551	99049	62444
552	99246	62275
553	99447	62109
554	99637	61936
555	99823	61761
556	100010	61586
557	100190	61407
558	100384	61236
559	100558	61053
560	100741	60876
561	100912	60691
562	101097	60514
563	101284	60339
564	101470	60163
565	101640	59978
566	101830	59805
567	102022	59632
568	102212	59459
569	102400	59284
570	102573	59101
571	102763	58927
572	102937	58744
573	103110	58561
574	103298	58386
575	103481	58208
576	103672	58034
577	103840	57848
578	104020	57669
579	104206	57493
580	104383	57312
581	104566	57134
582	104760	56962
583	104964	56796
584	105141	56614
585	105355	56453
586	105542	56277
587	105731	56102
588	105928	55931
589	106107	55751
590	106289	55572
591	106480	55398
592	106659	55218
593	106841	55039
594	107015	54856
595	107190	54674
596	107380	54499
597	107557	54318
598	107735	54137
599	107920	53960
600	108106	53783
601	108295	53607
602	108490	53435
603	108667	53254
604	108845	53073
605	109030	52896
606	109210	52715
607	109402	52542
608	109577	52359
609	109750	52176
610	109940	52001
611	110136	51828
612	110322	51651
613	110512	51476
614	110688	51294
615	110857	51109
616	111047	50934
617	111240	50760
618	111440	50589
619	111626	50412
620	111809	50233
621	111982	50050
622	112169	49872
623	112334	49686
624	112529	49512
625	112716	49336
626	112907	49160
627	113083	48979
628	113275	48803
629	113444	48619
630	113616	48435
631	113796	48255
632	113981	48077
633	114160	47896
634	114336	47715
635	114523	47538
636	114706	47359
637	114892	47181
638	115081	47005
639	115284	46834
640	115491	46665
641	115684	46490
642	115867	46311
643	116057	46134
644	116223	45948
645	116395	45765
646	116583	45588
647	116784	45416
648	116968	45237
649	117160	45061
650	117347	44883
651	117531	44705
652	117708	44523
653	117906	44349
654	118090	44171
655	118270	43990
656	118445	43808
657	118638	43632
658	118818	43452
659	119003	43274
660	119202	43100
661	119387	42921
662	119576	42744
663	119761	42565
664	119937	42383
665	120122	42205
666	120321	42031
667	120519	41856
668	120705	41678
669	120882	41496
670	121060	41315
671	121252	41139
672	121435	40959
673	121631	40784
674	121818	40606
675	122000	40426
676	122183	40246
677	122350	40061
678	122537	39883
679	122720	39703
680	122902	39523
681	123094	39346
682	123278	39167
683	123460	38987
684	123629	38803
685	123823	38627
686	124004	38446
687	124179	38264
688	124350	38081
689	124538	37902
690	124715	37721
691	124890	37539
692	125062	37356
693	125250	37178
694	125425	36996
695	125604	36815
696	125796	36638
697	125975	36457
698	126151	36275
699	126330	36094
700	126499	35910
701	126695	35734
702	126895	35559
703	127079	35380
704	127257	35198
705	127435	35017
706	127617	34837
707	127810	34660
708	127993	34480
709	128167	34298
710	128343	34116
711	128528	33937
712	128715	33758
713	128898	33578
714	129077	33397
715	129260	33217
716	129439	33036
717	129621	32856
718	129801	32676
719	129982	32495
720	130171	32317
721	130347	32135
722	130533	31956
723	130699	31772
724	130882	31592
725	131078	31415
726	131265	31236
727	131450	31056
728	131622	30874
729	131792	30691
730	131978	30512
731	132157	30331
732	132358	30155
733	132557	29979
734	132731	29796
735	132924	29618
736	133100	29437
737	133286	29258
738	133467	29077
739	133640	28895
740	133823	28715
741	134020	28538
742	134209	28359
743	134386	28177
744	134574	27998
745	134747	27816
746	134932	27636
747	135119	27457
748	135288	27274
749	135473	27094
750	135651	26913
751	135817	26730
752	136006	26551
753	136194	26371
754	136374	26191
755	136567	26012
756	136767	25835
757	136946	25654
758	137139	25476
759	137315	25294
760	137506	25116
761	137684	24934
762	137860	24753
763	138037	24572
764	138217	24391
765	138393	24209
766	138589	24031
767	138772	23851
768	138957	23671
769	139139	23491
770	139316	23309
771	139480	23126
772	139664	22946
773	139868	22769
774	140055	22589
775	140247	22410
776	140430	22230
777	140602	22048
778	140770	21865
779	140948	21684
780	141151	21507
781	141337	21327
782	141511	21145
783	141683	20963
784	141862	20782
785	142044	20601
786	142225	20421
787	142401	20239
788	142582	20059
789	142766	19878
790	142959	19699
791	143138	19518
792	143319	19338
793	143502	19157
794	143684	18977
795	143877	18798
796	144067	18618
