iter	Logloss
357	0.4749918636
358	0.4749296877
359	0.4748790259
360	0.4748169594
361	0.4747710761
362	0.4747223416
363	0.4746661827
364	0.4745943547
365	0.4745299347
366	0.4744548767
367	0.47439088
368	0.4743268204
369	0.4742496399
370	0.4741687648
371	0.4741148641
372	0.4740173095
373	0.4739405911
374	0.4738747032
375	0.4738153435
376	0.4737629914
377	0.47369283
378	0.4736487193
379	0.4735962
380	0.4735472148
381	0.4735167608
382	0.4734301434
383	0.4733538772
384	0.4732982255
385	0.4732328784
386	0.473180457
387	0.4731169589
388	0.4730734373
389	0.4730212667
390	0.4729610698
391	0.4728899171
392	0.4728271568
393	0.4727560405
394	0.4726838781
395	0.4726184596
396	0.4725698316
397	0.4725115077
398	0.4724645774
399	0.4724163175
400	0.4723514821
401	0.4722887136
402	0.4722396093
403	0.4721684679
404	0.4721315703
405	0.4720628208
406	0.4720216678
407	0.4719957491
408	0.4719245286
409	0.4718584112
410	0.4718046692
411	0.4717448924
412	0.4716752093
413	0.4716089501
414	0.471553514
415	0.4714895359
416	0.4714099333
417	0.4713656131
418	0.4712838982
419	0.4712134657
420	0.4711273506
421	0.4710981019
422	0.4710275337
423	0.470987648
424	0.4709162101
425	0.4708339841
426	0.4707769492
427	0.4707268184
428	0.4706691169
429	0.470600235
430	0.4705351996
431	0.4705185056
432	0.4704691791
433	0.4704195782
434	0.470354373
435	0.4702968645
436	0.4702554903
437	0.4702122526
438	0.4701569654
439	0.4700701852
440	0.4700119069
441	0.4699469639
442	0.469885987
443	0.4698220393
444	0.4697734418
445	0.4697080766
446	0.4696522204
447	0.469604336
448	0.4695591853
449	0.4694986518
450	0.4694330811
451	0.4693746588
452	0.4693324366
453	0.4692816442
454	0.4692342417
455	0.4691844418
456	0.4691227824
457	0.4690901986
458	0.4690265487
459	0.468963906
460	0.4689267904
461	0.4688607935
462	0.4688166546
463	0.4687582204
464	0.468690721
465	0.4686284053
466	0.4685592997
467	0.468506494
468	0.468470616
469	0.4684257917
470	0.468394363
471	0.4683217169
472	0.4682632477
473	0.4682020507
474	0.4681406854
475	0.4680915849
476	0.4680538641
477	0.4680050599
478	0.4679454326
479	0.4678803368
480	0.4678469714
481	0.4677887227
482	0.4677311537
483	0.4676567738
484	0.4676004949
485	0.4675844256
486	0.4675228674
487	0.4674766968
488	0.4674237923
489	0.4673603055
490	0.467310836
491	0.467244835
492	0.46717032
493	0.4671213798
494	0.4670478589
495	0.4669914695
496	0.4669220307
497	0.466860658
498	0.466806024
499	0.4667406102
500	0.4666808138
501	0.4666300367
502	0.4665662096
503	0.4665308087
504	0.4664964741
505	0.4664399092
506	0.4663963745
507	0.46633618
508	0.4662817076
509	0.4662222014
510	0.4661930036
511	0.466156321
512	0.4661012868
513	0.4660184354
514	0.4659911588
515	0.4659283485
516	0.465857497
517	0.4658097408
518	0.4657621054
519	0.4656943475
520	0.4656285661
521	0.4655865037
522	0.465524588
523	0.4654475351
524	0.465385201
525	0.4653562317
526	0.4653183279
527	0.4652580607
528	0.4651998543
529	0.465154763
530	0.4651094233
531	0.4650602521
532	0.4649962859
533	0.4649496452
534	0.4649043411
535	0.4648466592
536	0.4647804565
537	0.4647262011
538	0.464689348
539	0.4646335307
540	0.4645734856
541	0.464530837
542	0.4644947506
543	0.4644448493
544	0.464393873
545	0.4643371224
546	0.4642750273
547	0.4642155871
548	0.4641523281
549	0.464086377
550	0.4640322264
551	0.4639831365
552	0.4639335985
553	0.4638786391
554	0.4638347348
555	0.4637880541
556	0.4637566003
557	0.463703552
558	0.4636502364
559	0.4635953218
560	0.463550449
561	0.4634974138
562	0.4634546573
563	0.4634107304
564	0.4633523016
565	0.4632854505
566	0.4632732784
567	0.4632360052
568	0.4631872606
569	0.4631412302
570	0.4630853577
571	0.4630579678
572	0.4630255521
573	0.4629736748
574	0.4629280958
575	0.4628798343
576	0.4628074336
577	0.462747807
578	0.4627056329
579	0.462653253
580	0.4626049586
581	0.4625697393
582	0.4625216596
583	0.4624691896
584	0.4624271032
585	0.4623830577
586	0.4623545576
587	0.4623108237
588	0.4622630701
589	0.462232468
590	0.4621593389
591	0.4621034034
592	0.4620501999
593	0.4620025683
594	0.4619460292
595	0.4619134677
596	0.4618580663
597	0.4618089816
598	0.4617566296
599	0.4617032016
600	0.4616431292
601	0.4615899134
602	0.4615464782
603	0.4614893482
604	0.4614186903
605	0.4613529071
606	0.4612989275
607	0.4612488169
608	0.4612180519
609	0.4611703549
610	0.4611150567
611	0.461062249
612	0.4609996931
613	0.4609307418
614	0.4608822543
615	0.4608336439
616	0.4607973837
617	0.4607648525
618	0.4607066011
619	0.4606230854
620	0.460585418
621	0.4605163075
622	0.4604823743
623	0.4604126713
624	0.4603636806
625	0.460321948
626	0.4602630903
627	0.4602284303
628	0.460181202
629	0.4601452063
630	0.4600721127
631	0.4600011967
632	0.4599579509
633	0.4599217355
634	0.4598640169
635	0.4598184384
636	0.4597581349
637	0.4597028643
638	0.4596705688
639	0.4596485134
640	0.4595987685
641	0.4595668496
642	0.4595186021
643	0.4594853694
644	0.4594317544
645	0.4594143582
646	0.4593669133
647	0.4593043152
648	0.4592443118
649	0.4591739575
650	0.4591214692
651	0.4590760581
652	0.4590297992
653	0.458977485
654	0.4589309042
655	0.4588726313
656	0.4588332765
657	0.4587822324
658	0.4587181691
659	0.4586834894
660	0.458629898
661	0.4585995383
662	0.4585466706
663	0.4584998812
664	0.4584445663
665	0.4583748171
666	0.4583116398
667	0.4582878552
668	0.4582288566
669	0.4581726858
670	0.4581372954
671	0.458084165
672	0.4580342534
673	0.458010188
674	0.4579624324
675	0.4579252943
676	0.4578795017
677	0.4578286365
678	0.4577930641
679	0.4577504692
680	0.457709685
681	0.4576722284
682	0.4576107848
683	0.4575392032
684	0.4574953855
685	0.4574558513
686	0.4574162406
687	0.4573534394
688	0.457317207
689	0.4572824567
690	0.4572107177
691	0.4571624391
692	0.4571107156
693	0.4570439721
694	0.4569953274
695	0.4569419004
696	0.4569036253
697	0.4568449357
698	0.4568059038
699	0.456745184
700	0.4566851529
701	0.4566455358
702	0.4566136962
703	0.4565708151
704	0.4565113746
705	0.4564465554
706	0.4564051173
707	0.4563646976
708	0.4563194982
709	0.4562427404
710	0.4561941883
711	0.4561523242
712	0.4560859223
713	0.4560291615
714	0.4559879784
715	0.4559576057
716	0.4559124988
717	0.455872634
718	0.455817593
719	0.4557748064
720	0.4557439193
721	0.4556961891
722	0.4556517993
723	0.4556053752
724	0.4555638366
725	0.4555294051
726	0.4554767659
727	0.4554495199
728	0.4554203503
729	0.4553588972
730	0.455305815
731	0.4552650516
732	0.455238779
733	0.4552142778
734	0.4551566829
735	0.455107474
736	0.4550588547
737	0.4550262767
738	0.4549750043
739	0.4549279152
740	0.4549094824
741	0.454848303
742	0.4548054
743	0.4547716069
744	0.4547526282
745	0.4547097898
746	0.4546656415
747	0.4546248309
748	0.454578525
749	0.4545413366
750	0.454524052
751	0.4544862864
752	0.4544506151
753	0.4544104379
754	0.4543517361
755	0.4543052614
756	0.4542837639
757	0.4542391572
758	0.4541871197
759	0.454130939
760	0.4540967026
761	0.45404363
762	0.4539866812
763	0.453927085
764	0.4538747524
765	0.4538144796
766	0.4537765634
767	0.4537309023
768	0.4536583363
769	0.4536126184
770	0.4535641424
771	0.4535204429
772	0.4534697955
773	0.453409525
774	0.4533617249
775	0.4533061268
776	0.4532581497
777	0.4532025768
778	0.4531739337
779	0.453115419
780	0.4530581561
781	0.4530178308
782	0.4529731691
783	0.4529337257
784	0.4528896835
785	0.4528372439
786	0.4527818349
787	0.4527196695
788	0.452674109
789	0.4526386083
790	0.4526024982
791	0.4525843348
792	0.452532998
793	0.4525219767
794	0.4524865415
795	0.4524399067
796	0.4523865164
